case,temp,tray spacing,dist flow,cond liq flow
Case 306,15.5,0.66,51.93308212,299.6779827
Case 307,15.5,0.67,51.93308212,299.6779827
Case 308,15.5,0.68,51.93308212,299.6779827
Case 309,15.5,0.69,51.93308212,299.6779827
Case 310,15.5,0.7,51.93308212,299.6779827
Case 311,15,0.4,52.75476105,4087.055262
Case 312,15,0.41,52.75293966,4204.296602
Case 313,15,0.42,52.75372083,4214.400609
Case 314,15,0.43,52.75309135,4271.130986
Case 315,15,0.44,52.7533614,4280.301149
Case 316,15,0.45,52.75308138,4310.674384
Case 317,15,0.46,52.75321599,4317.127397
Case 318,15,0.47,52.75317768,4317.124261
Case 319,15,0.48,52.75318923,4317.125207
Case 320,15,0.49,52.75318558,4317.124908
Case 321,15,0.5,52.75318673,4317.125002
Case 322,15,0.51,52.75318637,4317.124972
Case 323,15,0.52,52.75318648,4317.124982
Case 324,15,0.53,52.75318645,4317.124979
Case 325,15,0.54,52.75318646,4317.12498
Case 326,15,0.55,52.75318645,4317.124979
Case 327,15,0.56,52.75318646,4317.124979
Case 328,15,0.57,52.75318646,4317.124979
Case 329,15,0.58,52.75318646,4317.124979
Case 330,15,0.59,52.75318646,4317.124979
Case 331,15,0.6,52.75318646,4317.124979
Case 332,15,0.61,52.75318646,4317.124979
Case 333,15,0.62,52.75318646,4317.124979
Case 334,15,0.63,52.75318646,4317.124979
Case 335,15,0.64,52.75318646,4317.124979
Case 336,15,0.65,52.75318646,4317.124979
Case 337,15,0.66,52.75318646,4317.124979
Case 338,15,0.67,52.75318646,4317.124979
Case 339,15,0.68,52.75318646,4317.124979
Case 340,15,0.69,52.75318646,4317.124979
Case 341,15,0.7,52.75318646,4317.124979
Case 342,14.5,0.4,<empty>,61844.65063
Case 343,14.5,0.41,<empty>,38117.45369
Case 344,14.5,0.42,<empty>,38117.45369
Case 345,14.5,0.43,<empty>,38117.45369
Case 346,14.5,0.44,<empty>,38117.45369
Case 347,14.5,0.45,<empty>,38117.45369
Case 348,14.5,0.46,<empty>,38117.45369
Case 349,14.5,0.47,<empty>,38117.45369
Case 350,14.5,0.48,<empty>,38117.45369
Case 351,14.5,0.49,<empty>,38117.45369
Case 352,14.5,0.5,<empty>,38117.45369
Case 353,14.5,0.51,<empty>,38117.45369
Case 354,14.5,0.52,<empty>,38117.45369
Case 355,14.5,0.53,<empty>,38117.45369
Case 356,14.5,0.54,<empty>,38117.45369
Case 357,14.5,0.55,<empty>,38117.45369
Case 358,14.5,0.56,<empty>,38117.45369
Case 359,14.5,0.57,<empty>,38117.45369
Case 360,14.5,0.58,<empty>,38117.45369
Case 361,14.5,0.59,<empty>,38117.45369
Case 362,14.5,0.6,<empty>,38117.45369
Case 363,14.5,0.61,<empty>,38117.45369
Case 364,14.5,0.62,<empty>,38117.45369
Case 365,14.5,0.63,<empty>,38117.45369
Case 366,14.5,0.64,<empty>,38117.45369
Case 367,14.5,0.65,<empty>,38117.45369
Case 368,14.5,0.66,<empty>,38117.45369
Case 369,14.5,0.67,<empty>,38117.45369
Case 370,14.5,0.68,<empty>,38117.45369
Case 371,14.5,0.69,<empty>,38117.45369
Case 372,14.5,0.7,<empty>,38117.45369
Case 373,14,0.4,<empty>,2213600.314
Case 374,14,0.41,<empty>,2213600.314
Case 375,14,0.42,<empty>,2213600.314
Case 376,14,0.43,<empty>,2213600.314
Case 377,14,0.44,<empty>,2213600.314
Case 378,14,0.45,<empty>,2213600.314
Case 379,14,0.46,<empty>,2213600.314
Case 380,14,0.47,<empty>,2213600.314
Case 381,14,0.48,<empty>,2213600.314
Case 382,14,0.49,<empty>,2213600.314
Case 383,14,0.5,<empty>,2213600.314
Case 384,14,0.51,<empty>,2213600.314
Case 385,14,0.52,<empty>,2213600.314
Case 386,14,0.53,<empty>,2213600.314
Case 387,14,0.54,<empty>,2213600.314
Case 388,14,0.55,<empty>,2213600.314
Case 389,14,0.56,<empty>,2213600.314
Case 390,14,0.57,<empty>,2213600.314
Case 391,14,0.58,<empty>,2213600.314
Case 392,14,0.59,<empty>,2213600.314
Case 393,14,0.6,<empty>,2213600.314
Case 394,14,0.61,<empty>,2213600.314
Case 395,14,0.62,<empty>,2213600.314
Case 396,14,0.63,<empty>,2213600.314
Case 397,14,0.64,<empty>,2213600.314
Case 398,14,0.65,<empty>,2213600.314
Case 399,14,0.66,<empty>,2213600.314
Case 400,14,0.67,<empty>,2213600.314
Case 401,14,0.68,<empty>,2213600.314
Case 402,14,0.69,<empty>,2213600.314
Case 403,14,0.7,<empty>,2213600.314
Case 404,13.5,0.4,<empty>,36751.04092
Case 405,13.5,0.41,<empty>,36751.04092
